name,id,year,director,top,rating,num_of_rates
Le salaire de la peur,tt0046268,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",189,8.1,39886
Отель Руанда,tt0395169,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",190,8.1,287825
Network,tt0074958,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",191,8.1,115159
Во имя отца,tt0107207,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",192,8.1,123839
Гонка,tt1979320,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",193,8.1,352042
Останься со мной,tt0092005,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",194,8.1,300965
Персона,tt0060827,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",195,8.1,71417
Ben-Hur,tt0052618,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",196,8.1,179271
Отель Гранд Будапешт,tt2278388,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",197,8.1,554640
Les quatre cents coups,tt0053198,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",198,8.1,78930
Воспоминания об убийстве,tt0353969,2003,"Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim",199,8.1,81152
12 лет рабства,tt2024544,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",200,8.1,507606
Безумный Макс: Дорога ярости,tt1392190,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",201,8.1,667942
Парк юрского периода,tt0107290,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",202,8.1,689569
Малышка на миллион,tt0405159,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",203,8.1,531622
В центре внимания,tt1895587,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",204,8.1,291339
Сталкер,tt0079944,1979,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",205,8.1,79843
Бутч Кэссиди и Санденс Кид,tt0064115,1969,"George Roy Hill (dir.), Paul Newman, Robert Redford",206,8.1,167521
Сука любовь,tt0245712,2000,"Alejandro González Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",207,8.1,188696
Шоу Трумана,tt0120382,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",208,8.1,745619
Хатико: самый верный друг,tt1028532,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",209,8.1,188028
The Maltese Falcon,tt0033870,1941,"John Huston (dir.), Humphrey Bogart, Mary Astor",210,8.1,124774
Навсикая из Долины ветров,tt0087544,1984,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",211,8.1,109891
Принцесса-невеста,tt0093779,1987,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",212,8.1,322855
Перед рассветом,tt0112471,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",213,8.1,208543
Ночи Кабирии,tt0050783,1957,"Federico Fellini (dir.), Giulietta Masina, François Périer",214,8.0,30460
Paper Moon,tt0070510,1973,"Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal",215,8.0,27027
Пленницы,tt1392214,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",216,8.0,454635
Гарри Поттер и Дары смерти: Часть II,tt1201607,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",217,8.0,612747
The Grapes of Wrath,tt0032551,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",218,8.0,70065
Рокки,tt0075148,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",219,8.0,420495
"Поймай меня, если сможешь",tt0264464,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",220,8.0,616542
Тор 3: Рагнарёк,tt3501632,2017,"Taika Waititi (dir.), Chris Hemsworth, Tom Hiddleston",221,8.0,48049
Touch of Evil,tt0052311,1958,"Orson Welles (dir.), Charlton Heston, Orson Welles",222,8.0,80172
Les diaboliques,tt0046911,1955,"Henri-Georges Clouzot (dir.), Simone Signoret, Véra Clouzot",223,8.0,47398
Ганди,tt0083987,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",224,8.0,188279
Донни Дарко,tt0246578,2001,"Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone",225,8.0,639134
Корпорация монстров,tt0198781,2001,"Pete Docter (dir.), Billy Crystal, John Goodman",226,8.0,656095
Братан Мунна: Продавец счастья,tt0374887,2003,"Rajkumar Hirani (dir.), Sunil Dutt, Sanjay Dutt",227,8.0,55375
Annie Hall,tt0075686,1977,"Woody Allen (dir.), Woody Allen, Diane Keaton",228,8.0,215281
Звёздные войны: Пробуждение Силы,tt2488496,2015,"J.J. Abrams (dir.), Daisy Ridley, John Boyega",229,8.0,693096
Терминатор,tt0088247,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",230,8.0,660725
Barry Lyndon,tt0072684,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",231,8.0,113551
Ультиматум Борна,tt0440963,2007,"Paul Greengrass (dir.), Matt Damon, Edgar Ramírez",232,8.0,539701
The Wizard of Oz,tt0032138,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",233,8.0,318723
День сурка,tt0107048,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",234,8.0,486518
Ненависть,tt0113247,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",235,8.0,116192
8½,tt0056801,1963,"Federico Fellini (dir.), Marcello Mastroianni, Anouk Aimée",236,8.0,87293
Jaws,tt0073195,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",237,8.0,457709
